成语,常用度分数
五雀六燕,97.2
相视莫逆,97.2
以辞害意,97.2
床上安床,97.1
断垣残壁,97.1
付诸东流,97.1
零丁孤苦,97.1
群情鼎沸,97.1
容光焕发,97.1
非昔是今,97.0
高瞻远瞩,97.0
欣欣向荣,97.0
扬清激浊,97.0
怡声下气,97.0
引风吹火,97.0
鞍前马后,96.9
必由之路,96.9
贵远贱近,96.9
情随事迁,96.9
诸如此类,96.9
动静有常,96.8
风前残烛,96.8
昂首挺胸,96.7
甑尘釜鱼,96.7
锋芒不露,96.6
逆取顺守,96.6
砥行磨名,96.5
发人深思,96.5
两世为人,96.5
见豕负涂,96.4
晨光熹微,96.3
地旷人稀,96.3
鸟语花香,96.3
承平盛世,96.2
打躬作揖,96.2
画地为牢,96.2
两手空空,96.2
以一警百,96.2
正大光明,96.2
二分明月,96.1
荟萃一堂,96.1
阶前万里,96.1
巾帼丈夫,96.1
径情直行,96.1
招权纳贿,96.1
不约而同,96.0
恶语相加,96.0
云泥殊路,96.0
抱蔓摘瓜,95.9
乘伪行诈,95.9
耳熟能详,95.9
临难苟免,95.9
美意延年,95.9
喜笑颜开,95.9
喜跃抃舞,95.9
多许少与,95.8
饿殍满道,95.8
恩山义海,95.8
行若无事,95.8
凶相毕露,95.8
钟灵毓秀,95.8
德薄能鲜,95.7
胼手胝足,95.7
青蝇点素,95.7
五日京兆,95.7
抓耳挠腮,95.7
宾客如云,95.6
襟怀洒落,95.6
居大不易,95.6
莫逆之交,95.6
冗词赘句,95.6
书香门第,95.6
罪有应得,95.6
打牙犯嘴,95.5
还我河山,95.5
牧猪奴戏,95.5
旁征博引,95.5
送往迎来,95.5
外圆内方,95.5
在家出家,95.5
半青半黄,95.4
分文不直,95.4
豪奢放逸,95.4
恨如头醋,95.4
花团锦簇,95.4
恍然若失,95.4
缄口结舌,95.4
九天九地,95.4
惹事生非,95.4
人心如面,95.4
不可限量,95.3
丰年稔岁,95.3
号啕大哭,95.3
陶陶兀兀,95.3
偷寒送暖,95.3
显露头角,95.3
倚马可待,95.3
兵贵先声,95.2
从善如流,95.2
大好河山,95.2
恫疑虚喝,95.2
简明扼要,95.2
箭在弦上,95.2
灭此朝食,95.2
彼倡此和,95.1
粉白黛黑,95.1
洛阳纸贵,95.1
命中注定,95.1
赤身露体,95.0
妙绝时人,95.0
内外交困,95.0
天灾人祸,95.0
古肥今瘠,94.9
骨肉相残,94.9
零打碎敲,94.9
千虑一失,94.9
拭目而待,94.9
把饭叫饥,94.8
彩云易散,94.8
层见叠出,94.8
愁肠九回,94.8
短见薄识,94.8
非常之谋,94.8
更长梦短,94.8
轮扁斫轮,94.8
信口开合,94.8
形色仓皇,94.8
循环往复,94.8
要言不烦,94.8
转祸为福,94.8
柴米夫妻,94.7
高飞远举,94.7
鹏程万里,94.7
一元复始,94.7
智勇双全,94.7
毕恭毕敬,94.6
不足齿数,94.6
紧锣密鼓,94.6
驹齿未落,94.6
龙蛇混杂,94.6
气势磅礴,94.6
顽梗不化,94.6
斩头去尾,94.6
刀山剑树,94.5
独立自主,94.5
孤身只影,94.5
群而不党,94.5
小鸟依人,94.5
拔树寻根,94.4
拆白道字,94.4
从令如流,94.4
酒色之徒,94.4
傍观冷眼,94.3
得意忘形,94.3
纸贵洛阳,94.3
奉若神明,94.2
革风易俗,94.2
鸡鸣戒旦,94.2
急赤白脸,94.2
卑躬屈膝,94.1
风景不殊,94.1
浮白载笔,94.1
腹背之毛,94.1
劫数难逃,94.1
蓝田生玉,94.1
流年似水,94.1
年富力强,94.1
抛戈弃甲,94.1
水清无鱼,94.1
月下花前,94.1
知疼着热,94.1
烽鼓不息,94.0
伶仃孤苦,94.0
迷离扑朔,94.0
鹊巢鸠占,94.0
善男信女,94.0
心力交瘁,94.0
衣不蔽体,94.0
避祸就福,93.9
寸丝半粟,93.9
方寸不乱,93.9
潜移默化,93.9
倾城倾国,93.9
任达不拘,93.9
始乱终弃,93.9
遗臭万年,93.9
繁荣富强,93.8
槁木死灰,93.8
各不相让,93.8
诡衔窃辔,93.8
挖空心思,93.8
无坚不摧,93.8
一刀两断,93.8
断头将军,93.7
跫然足音,93.7
先声夺人,93.7
他乡异县,93.6
杯水车薪,93.5
厉兵秣马,93.5
牛鼎烹鸡,93.5
轻车简从,93.5
任劳任怨,93.5
招贤纳士,93.5
只字不提,93.5
败柳残花,93.4
别无长物,93.4
不如归去,93.4
大人虎变,93.4
盖世无双,93.4
食前方丈,93.4
顺手牵羊,93.4
天理人情,93.4
不可逾越,93.3
操纵自如,93.3
降格以求,93.3
脑满肠肥,93.3
逃之夭夭,93.3
忘恩负义,93.3
多谋善虑,93.2
怀瑾握瑜,93.2
生吞活剥,93.2
游必有方,93.2
锋芒毕露,93.1
狐虎之威,93.1
记忆犹新,93.1
惊慌失措,93.1
渴骥奔泉,93.1
皮里抽肉,93.1
休明盛世,93.1
百思不解,93.0
趁人之危,93.0
南箕北斗,93.0
旁行斜上,93.0
如是我闻,93.0
万不得已,93.0
众口一词,93.0
悲愁垂涕,92.9
重生父母,92.9
刀头舔蜜,92.9
尽欢而散,92.9
滔滔不绝,92.9
鬻儿卖女,92.9
超群拔类,92.8
东西南北,92.8
傅粉何郎,92.8
魂牵梦萦,92.8
此起彼伏,92.7
即兴之作,92.7
踞炉炭上,92.7
三天两头,92.7
天摇地动,92.7
倚财仗势,92.7
东施效颦,92.6
教无常师,92.6
力尽筋疲,92.6
忍气吞声,92.6
树碑立传,92.6
鹰觑鹘望,92.6
抱头大哭,92.5
烽火连天,92.5
琅琅上口,92.5
清风峻节,92.5
宿弊一清,92.5
谈笑风生,92.5
挺而走险,92.5
为虎傅翼,92.5
胆大心小,92.4
饿虎扑羊,92.4
怀铅提椠,92.4
泼油救火,92.4
器二不匮,92.4
轻手轻脚,92.4
偷偷摸摸,92.4
胁肩低眉,92.4
朝斯夕斯,92.4
敦诗说礼,92.3
翻云覆雨,92.3
槁项黄馘,92.3
隔年皇历,92.3
路断人稀,92.3
千回万转,92.3
食肉寝皮,92.3
文以载道,92.3
野蔌山肴,92.3
争多论少,92.3
指天射鱼,92.3
触目恸心,92.2
摧身碎首,92.2
旦种暮成,92.2
画眉举案,92.2
筋疲力竭,92.2
举世无双,92.2
麻痹大意,92.2
铜头铁额,92.2
屠门大嚼,92.2
先礼后兵,92.2
专横跋扈,92.2
自命不凡,92.2
自用则小,92.2
安富尊荣,92.1
吃着不尽,92.1
济世救人,92.1
臼杵之交,92.1
康庄大道,92.1
忠言逆耳,92.1
髀里肉生,92.0
达官显宦,92.0
睹物兴情,92.0
喝西北风,92.0
掎挈伺诈,92.0
计无所出,92.0
舍己救人,92.0
鼠窃狗偷,92.0
移东补西,92.0
鄙于不屑,91.9
辩才无碍,91.9
倒载干戈,91.9
久闻大名,91.9
破罐破摔,91.9
五劳七伤,91.9
相门有相,91.9
一枕黄梁,91.9
半路出家,91.8
不日不月,91.8
大步流星,91.8
假仁假义,91.8
将勤补拙,91.8
救亡图存,91.8
冷嘲热讽,91.8
拈轻怕重,91.8
弃甲曳兵,91.8
山摇地动,91.8
奄奄一息,91.8
置之不理,91.8
装神弄鬼,91.8
令不虚行,91.7
七手八脚,91.7
瞬息万变,91.7
头疼脑热,91.7
一无所取,91.7
不露声色,91.6
垂涎三尺,91.6
翻空出奇,91.6
飞短流长,91.6
起凤腾蛟,91.6
四面八方,91.6
唾面自干,91.6
高自位置,91.5
户告人晓,91.5
患得患失,91.5
荒淫无耻,91.5
仁心仁术,91.5
三蛇七鼠,91.5
爱屋及乌,91.4
饱食暖衣,91.4
避凶趋吉,91.4
惨绿少年,91.4
春华秋实,91.4
冠履倒置,91.4
河落海干,91.4
混沌不分,91.4
水磨工夫,91.4
随才器使,91.4
席不暇暖,91.4
言重九鼎,91.4
飞声腾实,91.3
浩气长存,91.3
襟江带湖,91.3
耸人听闻,91.3
先忧后乐,91.3
暗箭伤人,91.2
白驹空谷,91.2
如数家珍,91.2
雁默先烹,91.2
揣合逢迎,91.1
传诵一时,91.1
剑胆琴心,91.1
金钗换酒,91.1
名落孙山,91.1
裙带关系,91.1
三迭阳关,91.1
甜言软语,91.1
月落星沉,91.1
大材小用,91.0
多情善感,91.0
堕云雾中,91.0
决一雌雄,91.0
绝口不道,91.0
流水落花,91.0
石火电光,91.0
同床异梦,91.0
以锥刺地,91.0
迂回曲折,91.0
醉生梦死,91.0
色若死灰,90.9
实与有力,90.9
百花生日,90.8
动如脱兔,90.8
攻守同盟,90.8
红情绿意,90.8
见财起意,90.8
藉草枕块,90.8
看人眉眼,90.8
鸾翔凤集,90.8
名实难副,90.8
明刑不戮,90.8
去粗取精,90.8
颐指气使,90.8
治国安民,90.8
不知高低,90.7
当头一棒,90.7
颠倒黑白,90.7
号咷大哭,90.7
同工异曲,90.7
魏紫姚黄,90.7
大惊小怪,90.6
反裘负刍,90.6
锋发韵流,90.6
缓急相济,90.6
戛玉敲金,90.6
假力于人,90.6
绿林好汉,90.6
太阿倒持,90.6
削足适履,90.6
粉面油头,90.5
好梦难成,90.5
机变如神,90.5
借面吊丧,90.5
喷薄欲出,90.5
犬兔俱毙,90.5
日往月来,90.5
山光水色,90.5
无与伦比,90.5
一盘散沙,90.5
淡而不厌,90.4
刀光剑影,90.4
抚掌大笑,90.4
互相标榜,90.4
混淆是非,90.4
兰心蕙性,90.4
龙行虎步,90.4
披头散发,90.4
三旬九食,90.4
闲情逸致,90.4
心去难留,90.4
学富五车,90.4
肝胆楚越,90.3
恨入骨髓,90.3
虎头燕颔,90.3
狼狈为奸,90.3
吴市吹箫,90.3
只争朝夕,90.3
孤注一掷,90.2
巧言令色,90.2
说来话长,90.2
胸怀大志,90.2
一团漆黑,90.2
皂丝麻线,90.2
反戈一击,90.1
风雨同舟,90.1
回心转意,90.1
淘沙得金,90.1
无拳无勇,90.1
心回意转,90.1
形单影只,90.1
云起龙骧,90.1
胆战心惊,90.0
洞幽烛微,90.0
悔之不及,90.0
肯堂肯构,90.0
肉食者鄙,90.0
齿若编贝,89.9
名存实亡,89.9
深沟高垒,89.9
半夜三更,89.8
不轨之徒,89.8
才高行厚,89.8
草庐三顾,89.8
污泥浊水,89.8
心到神知,89.8
纷纭杂沓,89.7
匡救弥缝,89.7
利析秋毫,89.7
蔓蔓日茂,89.7
拾遗补阙,89.7
百家争鸣,89.6
斗酒学士,89.6
国之干城,89.6
荆棘载途,89.6
可心如意,89.6
能说会道,89.6
普度众生,89.6
巧同造化,89.6
无所回避,89.6
虚张声势,89.6
曳裾王门,89.6
饮醇自醉,89.6
百年之后,89.5
奉令承教,89.5
苟延残喘,89.5
日月重光,89.5
身心交病,89.5
头足倒置,89.5
婢作夫人,89.4
大家风范,89.4
何患无辞,89.4
挥翰临池,89.4
秽言污语,89.4
夹袋人物,89.4
三十三天,89.4
饕餮之徒,89.4
东野巴人,89.3
发扬踔厉,89.3
龟玉毁椟,89.3
破旧立新,89.3
痌瘝在抱,89.3
心烦技痒,89.3
愁眉啼妆,89.2
故弄玄虚,89.2
何足挂齿,89.2
久而久之,89.2
开源节流,89.2
枯木死灰,89.2
情见乎辞,89.2
丘山之功,89.2
说黄道黑,89.2
退避三舍,89.2
万象更新,89.2
雍荣雅步,89.2
珠联璧合,89.2
不饮盗泉,89.1
草率收兵,89.1
风驰电掣,89.1
佳人才子,89.1
旧地重游,89.1
快人快语,89.1
语不惊人,89.1
榜上无名,89.0
花说柳说,89.0
家家户户,89.0
金风玉露,89.0
九洲四海,89.0
论黄数黑,89.0
弥天大罪,89.0
杀妻求将,89.0
熟魏生张,89.0
四分五裂,89.0
探头探脑,89.0
我武惟扬,89.0
无適无莫,89.0
一见倾心,89.0
因小失大,89.0
有目共睹,89.0
云雨巫山,89.0
自不量力,89.0
恶迹昭著,88.9
风土人情,88.9
公私两便,88.9
火海刀山,88.9
夹枪带棍,88.9
龙肝凤脑,88.9
北宫婴儿,88.8
侧目而视,88.8
除旧更新,88.8
肤皮潦草,88.8
诘屈聱牙,88.8
如狼牧羊,88.8
弱不胜衣,88.8
修辞立诚,88.8
趾高气扬,88.8
放刁撒泼,88.7
非池中物,88.7
凫趋雀跃,88.7
抚躬自问,88.7
龙章凤姿,88.7
难更仆数,88.7
歙漆阿胶,88.7
娓娓而谈,88.7
悠悠荡荡,88.7
呼风唤雨,88.6
江心补漏,88.6
举鼎拔山,88.6
看菜吃饭,88.6
六畜不安,88.6
披毛戴角,88.6
三旨相公,88.6
一改故辙,88.6
咏月嘲风,88.6
豆剖瓜分,88.5
奋发图强,88.5
鸿业远图,88.5
敬而远之,88.5
久别重逢,88.5
克尽厥职,88.5
乐而不淫,88.5
门禁森严,88.5
有条不紊,88.5
弹丸之地,88.4
道尽途穷,88.4
赶尽杀绝,88.4
