成语,常用度分数
轻歌曼舞,69.7
求浆得酒,69.7
天马行空,69.7
天下为笼,69.7
跳梁小丑,69.7
沅茞澧兰,69.7
债台高筑,69.7
朝不谋夕,69.7
爱不释手,69.6
昂首望天,69.6
藏形匿影,69.6
釜底抽薪,69.6
缟纻之交,69.6
广见洽闻,69.6
急人之难,69.6
苦海无边,69.6
貌合心离,69.6
美芹之献,69.6
七折八扣,69.6
轻视傲物,69.6
秋荼密网,69.6
使羊将狼,69.6
恶恶从短,69.6
陷身囹圄,69.6
知命不忧,69.6
筑室反耕,69.6
爱毛反裘,69.5
不立文字,69.5
不着边际,69.5
抵背扼喉,69.5
赴险如夷,69.5
何足为奇,69.5
金刚怒目,69.5
旁若无人,69.5
仁义道德,69.5
鼠腹鸡肠,69.5
私心杂念,69.5
粟红贯朽,69.5
兄死弟及,69.5
置之脑后,69.5
按辔徐行,69.4
唱对台戏,69.4
低眉顺眼,69.4
繁文末节,69.4
鬼头鬼脑,69.4
吉光片羽,69.4
首身分离,69.4
屋如七星,69.4
无咎无誉,69.4
吴牛喘月,69.4
细微末节,69.4
玄之又玄,69.4
一搭两用,69.4
一了百当,69.4
责有攸归,69.4
纵横驰骋,69.4
钻穴逾墙,69.4
风虎云龙,69.3
割骨疗亲,69.3
和睦相处,69.3
狐疑不决,69.3
纪纲人论,69.3
甲冠天下,69.3
居高临下,69.3
蓼虫忘辛,69.3
雀小脏全,69.3
神气活现,69.3
土阶茅屋,69.3
贼眉鼠眼,69.3
傲头傲脑,69.2
博通经籍,69.2
穿凿附会,69.2
大放厥词,69.2
敌忾同仇,69.2
和蔼可亲,69.2
哄动一时,69.2
厚颜无耻,69.2
虎口余生,69.2
就地取材,69.2
勉为其难,69.2
人百其身,69.2
死有余辜,69.2
无关宏旨,69.2
秀色可餐,69.2
延颈鹤望,69.2
安营扎寨,69.1
暴虎冯河,69.1
独学寡闻,69.1
好问则裕,69.1
见机而作,69.1
扪心无愧,69.1
拍案而起,69.1
七棱八瓣,69.1
清新俊逸,69.1
蹊田夺牛,69.1
隐忍不言,69.1
雨迹云踪,69.1
关山阻隔,69.0
两鼠斗穴,69.0
难解难分,69.0
吟风弄月,69.0
铸成大错,69.0
白云亲舍,68.9
大腹便便,68.9
浮一大白,68.9
覆雨翻云,68.9
空空如也,68.9
密云不雨,68.9
身体力行,68.9
下车伊始,68.9
以德报德,68.9
以指挠沸,68.9
瘴雨蛮烟,68.9
智圆行方,68.9
装怯作勇,68.9
惨不忍闻,68.8
匪夷匪惠,68.8
焕然一新,68.8
旷夫怨女,68.8
了如指掌,68.8
民保于信,68.8
期颐之寿,68.8
掐尖落钞,68.8
天公地道,68.8
头会箕敛,68.8
嬉笑怒骂,68.8
先睹为快,68.8
腰金衣紫,68.8
一飞冲天,68.8
仪态万方,68.8
以身作则,68.8
有板有眼,68.8
爱如珍宝,68.7
百不一存,68.7
阿党相为,68.7
风雨对床,68.7
阆苑琼楼,68.7
明教不变,68.7
人生如寄,68.7
如意算盘,68.7
文治武功,68.7
扬铃打鼓,68.7
以蠡测海,68.7
枕戈寝甲,68.7
当世无双,68.6
抵足而眠,68.6
开科取士,68.6
民脂民膏,68.6
切齿痛恨,68.6
恶紫夺朱,68.6
自以为是,68.6
不过尔尔,68.5
大摇大摆,68.5
鼎新革故,68.5
多此一举,68.5
咄嗟便办,68.5
泛滥成灾,68.5
风雨不改,68.5
凤枭同巢,68.5
刚柔相济,68.5
镜里观花,68.5
靡靡之音,68.5
呜呼哀哉,68.5
无价之宝,68.5
凶多吉少,68.5
依草附木,68.5
变名易姓,68.4
草草了事,68.4
超以象外,68.4
莼羹鲈脍,68.4
怛然失色,68.4
大风大浪,68.4
国步艰难,68.4
荆山之玉,68.4
泾浊渭清,68.4
空中楼阁,68.4
慢易生忧,68.4
平治天下,68.4
万众一心,68.4
我行我素,68.4
星移斗转,68.4
悬驼就石,68.4
以石投水,68.4
枕流漱石,68.4
尊古卑今,68.4
饱以老拳,68.3
功德圆满,68.3
见貌辨色,68.3
桀骜不驯,68.3
明刑弼教,68.3
拍手称快,68.3
如履薄冰,68.3
山明水秀,68.3
万签插架,68.3
望穿秋水,68.3
依违两可,68.3
一长两短,68.3
云屯雾集,68.3
不自量力,68.2
扯篷拉纤,68.2
春花秋月,68.2
寸阴尺璧,68.2
竿头直上,68.2
鸡虫得失,68.2
教学相长,68.2
锦绣河山,68.2
精采秀发,68.2
就地正法,68.2
旧雨今雨,68.2
驴心狗肺,68.2
末学肤受,68.2
漠不关心,68.2
鸟穷则啄,68.2
天行时气,68.2
业精于勤,68.2
衣香鬓影,68.2
以儆效尤,68.2
右军习气,68.2
鱼贯而入,68.2
责无旁贷,68.2
变色之言,68.1
持之以恒,68.1
金蝉脱壳,68.1
良金美玉,68.1
良禽择木,68.1
枉法徇私,68.1
乐山乐水,68.1
夜静更深,68.1
依然如故,68.1
引咎自责,68.1
出水芙蓉,68.0
寸阴若岁,68.0
狗吠之警,68.0
画地刻木,68.0
哭天喊地,68.0
力不从心,68.0
统筹兼顾,68.0
蔚为大观,68.0
喜不自胜,68.0
笑面夜叉,68.0
削株掘根,68.0
一定之规,68.0
衣轻乘肥,68.0
背水一战,67.9
畅通无阻,67.9
对酒当歌,67.9
感慨万千,67.9
焦心热中,67.9
惊心悼胆,67.9
纳屦踵决,67.9
披沙拣金,67.9
如振落叶,67.9
喜新厌旧,67.9
自投罗网,67.9
安老怀少,67.8
长歌当哭,67.8
胆破心寒,67.8
改换家门,67.8
寒酸落魄,67.8
竭泽焚薮,67.8
举善荐贤,67.8
老妪能解,67.8
拳拳服膺,67.8
如蹈汤火,67.8
使臂使指,67.8
一世龙门,67.8
一知半解,67.8
以沫相濡,67.8
属毛离里,67.8
不改其乐,67.7
出类拔萃,67.7
花前月下,67.7
开天辟地,67.7
刻苦耐劳,67.7
力排众议,67.7
门生故吏,67.7
密锣紧鼓,67.7
羌无故实,67.7
歃血为盟,67.7
说东道西,67.7
应运而生,67.7
执迷不悟,67.7
长眠不起,67.6
沉静寡言,67.6
吹影镂尘,67.6
飞蛾投火,67.6
改步改玉,67.6
苦难深重,67.6
千岩竞秀,67.6
三寸之舌,67.6
神工鬼斧,67.6
尸位素餐,67.6
血肉横飞,67.6
一面如旧,67.6
一时半刻,67.6
因利乘便,67.6
白纸黑字,67.5
不明不白,67.5
残暴不仁,67.5
风卷残云,67.5
家鸡野雉,67.5
嘉言懿行,67.5
街头巷尾,67.5
龃龉不合,67.5
连篇累牍,67.5
卖国求荣,67.5
蹑足潜踪,67.5
浓妆艳裹,67.5
肉眼凡胎,67.5
如花似玉,67.5
心惊肉跳,67.5
一窍不通,67.5
只鸡斗酒,67.5
不教之教,67.4
乘风破浪,67.4
箪食瓢饮,67.4
飞鸟惊蛇,67.4
功成名就,67.4
光明磊落,67.4
计无所施,67.4
门庭若市,67.4
蒲鞭之罚,67.4
人仰马翻,67.4
齿牙春色,67.3
归马放牛,67.3
归真反璞,67.3
挥霍无度,67.3
祸福无门,67.3
掎裳连袂,67.3
老蚕作茧,67.3
秘而不宣,67.3
绵里薄材,67.3
偏信则暗,67.3
却之不恭,67.3
人中之龙,67.3
上窜下跳,67.3
寻瑕伺隙,67.3
啧有烦言,67.3
崭露头角,67.3
助桀为虐,67.3
不知所云,67.2
醋海翻波,67.2
倒行逆施,67.2
蜂拥而来,67.2
各色名样,67.2
躬耕乐道,67.2
邯郸学步,67.2
罕譬而喻,67.2
教猱升木,67.2
狼贪虎视,67.2
惹草拈花,67.2
水深火热,67.2
倚官仗势,67.2
意气风发,67.2
游山玩水,67.2
玉毁椟中,67.2
原形毕露,67.2
直木必伐,67.2
著作等身,67.2
邹缨齐紫,67.2
蔽聪塞明,67.1
残年暮景,67.1
词不逮理,67.1
貌合神离,67.1
明目张胆,67.1
谬种流传,67.1
若敖鬼馁,67.1
舌挢不下,67.1
一串骊珠,67.1
逼上梁山,67.0
持蠡测海,67.0
风雨飘摇,67.0
浮名虚誉,67.0
俯仰之间,67.0
稼穑艰难,67.0
金相玉质,67.0
快步流星,67.0
腊尽春回,67.0
蚍蜉戴盆,67.0
勤学苦练,67.0
全军覆灭,67.0
日转千阶,67.0
身首异处,67.0
死不瞑目,67.0
谈何容易,67.0
万紫千红,67.0
危言危行,67.0
先得我心,67.0
一德一心,67.0
自怨自艾,67.0
安然无恙,66.9
本小利微,66.9
不阴不阳,66.9
才高意广,66.9
道殣相望,66.9
恭默守静,66.9
故我依然,66.9
臼灶生蛙,66.9
举不胜举,66.9
牢什古子,66.9
欺上瞒下,66.9
神采奕奕,66.9
勇而无谋,66.9
囿于成见,66.9
原封不动,66.9
八面见光,66.8
厕足其间,66.8
痴男怨女,66.8
臭肉来蝇,66.8
东扶西倒,66.8
恩深义重,66.8
狗血淋头,66.8
老马恋栈,66.8
恋新忘旧,66.8
然荻读书,66.8
铩羽而归,66.8
一劳永逸,66.8
枕戈待旦,66.8
置之死地,66.8
高山仰止,66.7
接三连四,66.7
金榜题名,66.7
力挽狂澜,66.7
深仇重怨,66.7
希世之珍,66.7
先天不足,66.7
鞭辟近里,66.6
常备不懈,66.6
耳聪目明,66.6
负重致远,66.6
归心如箭,66.6
寒毛卓竖,66.6
举枉措直,66.6
龙生九子,66.6
如痴如醉,66.6
三牲五鼎,66.6
声色狗马,66.6
挑三拣四,66.6
一弹指顷,66.6
以售其奸,66.6
语言无味,66.6
不经之谈,66.5
斗筲之器,66.5
钩章棘句,66.5
冷眼旁观,66.5
利出一孔,66.5
毛发丝粟,66.5
难乎为继,66.5
清尘浊水,66.5
情至意尽,66.5
寻枝摘叶,66.5
主文谲谏,66.5
兵车之会,66.4
恭而有礼,66.4
过眼烟云,66.4
鲁莽灭裂,66.4
贫嘴贱舌,66.4
人多嘴杂,66.4
瓦釜雷鸣,66.4
万壑争流,66.4
一反常态,66.4
一分为二,66.4
纡尊降贵,66.4
跋扈自恣,66.3
百鸟朝凤,66.3
不咎既往,66.3
不由分说,66.3
才疏志大,66.3
成一家言,66.3
对头冤家,66.3
耳根清净,66.3
后发制人,66.3
兼容并包,66.3
举世无敌,66.3
年深日久,66.3
轻诺寡信,66.3
人多势众,66.3
养家活口,66.3
一语破的,66.3
殒身不恤,66.3
自成一家,66.3
半斤八两,66.2
风流罪过,66.2
教一识百,66.2
久安长治,66.2
慷慨激昂,66.2
离情别绪,66.2
六合之内,66.2
莫名其妙,66.2
蓬荜生辉,66.2
杀身成仁,66.2
夙夜匪懈,66.2
孙康映雪,66.2
超群绝伦,66.1
沉博绝丽,66.1
触物兴怀,66.1
地老天荒,66.1
杜渐防萌,66.1
断袖之癖,66.1
化险为夷,66.1
宦海风波,66.1
混世魔王,66.1
急起直追,66.1
确凿不移,66.1
傥来之物,66.1
土鸡瓦犬,66.1
味同嚼蜡,66.1
五色缤纷,66.1
洋洋大观,66.1
与日俱增,66.1
自由泛滥,66.1
苍颜白发,66.0
盗名欺世,66.0
掇菁撷华,66.0
另眼相看,66.0
明扬侧陋,66.0
能工巧匠,66.0
乞浆得酒,66.0
青面獠牙,66.0
萧曹避席,66.0
偃旗息鼓,66.0
迎头痛击,66.0
游蜂浪蝶,66.0
醉酒饱德,66.0
不得要领,65.9
不厌其烦,65.9
疾首蹙额,65.9
今不如昔,65.9
离群索居,65.9
名副其实,65.9
名高天下,65.9
披坚执锐,65.9
曙后星孤,65.9
仙山琼阁,65.9
心灰意懒,65.9
以义割恩,65.9
亦庄亦谐,65.9
出人意表,65.8
出头露面,65.8
悼心失图,65.8
腹有鳞甲,65.8
寡鹄孤鸾,65.8
圈牢养物,65.8
拉捭摧藏,65.8
怜新弃旧,65.8
马工枚速,65.8
判若鸿沟,65.8
婆娑起舞,65.8
千岩万壑,65.8
穷鼠啮狸,65.8
天高地迥,65.8
无拘无束,65.8
胸有成竹,65.8
烟霞痼疾,65.8
饮水曲肱,65.8
怨声载道,65.8
再造之恩,65.8
择善而从,65.8
百兽率舞,65.7
不以为奇,65.7
除旧布新,65.7
度己以绳,65.7
凫胫鹤膝,65.7
日削月朘,65.7
兵多将广,65.6
不求闻达,65.6
诚惶诚恐,65.6
惩忿窒欲,65.6
倒三颠四,65.6
道听途说,65.6
菲食薄衣,65.6
膏梁锦绣,65.6
寒蝉仗马,65.6
鹤立鸡群,65.6
混水摸鱼,65.6
吉祥止止,65.6
尽态极妍,65.6
凌云之志,65.6
梦笔生花,65.6
南风不竞,65.6
千头万绪,65.6
千言万语,65.6
信及豚鱼,65.6
烟消火灭,65.6
意在笔先,65.6
称王称霸,65.5
殚智竭力,65.5
黑白混淆,65.5
黄钟瓦釜,65.5
集腋成裘,65.5
可操左券,65.5
羚羊挂角,65.5
匹夫之勇,65.5
铺张扬厉,65.5
穷山恶水,65.5
取予有节,65.5
忍辱含垢,65.5
倚势凌人,65.5
玉叶金枝,65.5
转悲为喜,65.5
巴高望上,65.4
白首之心,65.4
鄙吝复萌,65.4
道义之交,65.4
杜绝言路,65.4
高牙大纛,65.4
浩气凛然,65.4
虎珀拾芥,65.4
积善成德,65.4
结结巴巴,65.4
来踪去迹,65.4
诗肠鼓吹,65.4
手到擒来,65.4
天工人代,65.4
铢两分寸,65.4
百身何赎,65.3
不识一丁,65.3
出其不意,65.3
东食西宿,65.3
纷纷攘攘,65.3
各取所长,65.3
妙手偶得,65.3
配套成龙,65.3
市井之臣,65.3
问心无愧,65.3
贤良方正,65.3
压良为贱,65.3
玉昆金友,65.3
抱布贸丝,65.2
壁立千仞,65.2
苍黄翻复,65.2
成人之美,65.2
乘车戴笠,65.2
春秋鼎盛,65.2
春深似海,65.2
金碧辉煌,65.2
苦心经营,65.2
夸父逐日,65.2
人定胜天,65.2
尧年舜日,65.2
勇者不惧,65.2
崇论闳议,65.1
戴头识脸,65.1
独往独来,65.1
赍志而没,65.1
枯杨生稊,65.1
士饱马腾,65.1
鼠凭社贵,65.1
文人无行,65.1
小小不言,65.1
心长力短,65.1
星离雨散,65.1
一致百虑,65.1
玉洁冰清,65.1
作金石声,65.1
侧足而立,65.0
尺寸可取,65.0
风流云散,65.0
功亏一篑,65.0
目食耳视,65.0
人心向背,65.0
心活面软,65.0
血气方刚,65.0
异口同音,65.0
尺寸之地,64.9
浮光掠影,64.9
海晏河清,64.9
激浊扬清,64.9
接踵而来,64.9
渴尘万斛,64.9
生生世世,64.9
视如草芥,64.9
水过鸭背,64.9
为民请命,64.9
幸灾乐祸,64.9
以求一逞,64.9
志得意满,64.9
大显身手,64.8
顿开茅塞,64.8
飞沙走石,64.8
扶危定乱,64.8
乖僻邪谬,64.8
害群之马,64.8
金枷玉锁,64.8
千载一时,64.8
巧言偏辞,64.8
人尽其才,64.8
弱不好弄,64.8
松柏之寿,64.8
唐突西子,64.8
项背相望,64.8
徇私舞弊,64.8
蝇粪点玉,64.8
自始自终,64.8
不念旧恶,64.7
不置褒贬,64.7
秤薪而爨,64.7
改头换面,64.7
钢筋铁骨,64.7
罕言寡语,64.7
好吃懒做,64.7
花里胡哨,64.7
恍如隔世,64.7
鹿车共挽,64.7
明知故问,64.7
驽马铅刀,64.7
千差万别,64.7
先自隗始,64.7
虚情假意,64.7
眼馋肚饱,64.7
仰屋窃叹,64.7
一雷二闪,64.7
浴血奋战,64.7
百无一失,64.6
椎牛飨士,64.6
俭可养廉,64.6
劳民伤财,64.6
冷面寒铁,64.6
驽箭离弦,64.6
蛇口蜂针,64.6
投井下石,64.6
无可置疑,64.6
掩其无备,64.6
忧心如捣,64.6
有己无人,64.6
再接再厉,64.6
知小谋大,64.6
草菅人命,64.5
单枪匹马,64.5
进退失据,64.5
倔强倨傲,64.5
青州从事,64.5
全智全能,64.5
人自为战,64.5
伤弓之鸟,64.5
不在话下,64.4
迟暮之年,64.4
辞严义正,64.4
贩夫贩妇,64.4
互相推诿,64.4
计过自讼,64.4
绿衣使者,64.4
畏敌如虎,64.4
心高气傲,64.4
一箭之遥,64.4
羿射九日,64.4
遮天盖地,64.4
本性难移,64.3
晨昏定省,64.3
出生入死,64.3
慈乌返哺,64.3
福寿无疆,64.3
孤独鳏寡,64.3
零七八碎,64.3
马仰人翻,64.3
声动梁尘,64.3
弹剑作歌,64.3
一身两头,64.3
安堵如故,64.2
傲慢不逊,64.2
不苟言笑,64.2
除奸革弊,64.2
大澈大悟,64.2
砥节奉公,64.2
蜂屯蚁聚,64.2
汗颜无地,64.2
激昂慷慨,64.2
吉祥如意,64.2
没齿不忘,64.2
其乐无穷,64.2
天壤悬隔,64.2
迎风待月,64.2
有志竟成,64.2
断章取义,64.1
气息奄奄,64.1
黔驴技穷,64.1
强人所难,64.1
人微权轻,64.1
舐糠及米,64.1
毅然决然,64.1
游戏人间,64.1
竹苞松茂,64.1
暗气暗恼,64.0
不废江河,64.0
大张声势,64.0
颠毛种种,64.0
定倾扶危,64.0
斤斤自守,64.0
具体而微,64.0
难分难解,64.0
贫贱骄人,64.0
千娇百媚,64.0
深闭固拒,64.0
深宅大院,64.0
死而无悔,64.0
一家眷属,64.0
属辞比事,64.0
不平则鸣,63.9
超轶绝尘,63.9
干名采誉,63.9
寒泉之思,63.9
红男绿女,63.9
后来之秀,63.9
寄人篱下,63.9
将信将疑,63.9
开基立业,63.9
匿迹销声,63.9
弄口鸣舌,63.9
恰如其分,63.9
为所欲为,63.9
叶公好龙,63.9
直眉瞪眼,63.9
摧坚陷阵,63.8
泛泛之交,63.8
高官显爵,63.8
过庭之训,63.8
家鸡野鹜,63.8
匠心独运,63.8
破家县令,63.8
破桐之叶,63.8
如埙如箎,63.8
三曹对案,63.8
盛极一时,63.8
玉石俱焚,63.8
猿猴取月,63.8
苞苴竿牍,63.7
凤鸣朝阳,63.7
故作高深,63.7
过化存神,63.7
箕风毕雨,63.7
见危授命,63.7
锦心绣肠,63.7
揽辔澄清,63.7
匿瑕含垢,63.7
思深忧远,63.7
五世其昌,63.7
一浆十饼,63.7
一字千金,63.7
刀枪剑戟,63.6
道而不径,63.6
二心两意,63.6
风尘仆仆,63.6
伏法受诛,63.6
虎头蛇尾,63.6
季友伯兄,63.6
颊上添毫,63.6
苦中作乐,63.6
绿叶成阴,63.6
民怨沸腾,63.6
骑者善堕,63.6
叹为观止,63.6
退有后言,63.6
相提并论,63.6
羊质虎皮,63.6
自由自在,63.6
不识时务,63.5
春冰虎尾,63.5
杜渐防微,63.5
感旧之哀,63.5
毂击肩摩,63.5
黄童白叟,63.5
礼坏乐崩,63.5
七零八落,63.5
七事八事,63.5
天荒地老,63.5
席珍待聘,63.5
血流成河,63.5
偃鼠饮河,63.5
愚昧无知,63.5
卓有成效,63.5
爱财如命,63.4
重规迭矩,63.4
传为笑柄,63.4
大仁大义,63.4
呆若木鸡,63.4
道山学海,63.4
得不偿失,63.4
斗酒百篇,63.4
狂犬吠日,63.4
蓬头历齿,63.4
忍辱偷生,63.4
思如涌泉,63.4
天台路迷,63.4
蔚然成风,63.4
下气怡声,63.4
先发制人,63.4
以逸待劳,63.4
知荣守辱,63.4
拔十得五,63.3
抱残守缺,63.3
蝶粉蜂黄,63.3
顶针续麻,63.3
诟如不闻,63.3
叫苦不迭,63.3
匹马只轮,63.3
普天率土,63.3
三三五五,63.3
神施鬼设,63.3
是非曲直,63.3
田父献曝,63.3
枉道事人,63.3
席丰履厚,63.3
行之有效,63.3
悬剑空垄,63.3
坐立不安,63.3
爱国如家,63.2
得胜回朝,63.2
废文任武,63.2
高傲自大,63.2
和光同尘,63.2
居心险恶,63.2
宽猛相济,63.2
劳而无功,63.2
无所不为,63.2
胸无宿物,63.2
一无是处,63.2
地广人稀,63.1
动心骇目,63.1
独鹤鸡群,63.1
顿首再拜,63.1
怫然作色,63.1
膏火自煎,63.1
躬体力行,63.1
鹤发童颜,63.1
解发佯狂,63.1
路柳墙花,63.1
气冲牛斗,63.1
气贯长虹,63.1
翘足而待,63.1
行云流水,63.1
胸中甲兵,63.1
一轨同风,63.1
移东就西,63.1
作如是观,63.1
白蜡明经,63.0
白往黑来,63.0
变化无穷,63.0
缠绵悱恻,63.0
陈师鞠旅,63.0
大含细入,63.0
独出己见,63.0
济世安人,63.0
愣头愣脑,63.0
情不自禁,63.0
人穷智短,63.0
星灭光离,63.0
煦煦孑孑,63.0
闭关却扫,62.9
不知甘苦,62.9
打凤捞龙,62.9
东山再起,62.9
敲冰求火,62.9
舍死忘生,62.9
同室操戈,62.9
乌焦巴弓,62.9
无伤大体,62.9
物极必反,62.9
细水长流,62.9
下车作威,62.9
寻事生非,62.9
有枝添叶,62.9
自立门户,62.9
安家落户,62.8
繁文缛节,62.8
富可敌国,62.8
金兰之友,62.8
金石之坚,62.8
救世济民,62.8
瓮中捉鳖,62.8
坐收渔利,62.8
不可捉摸,62.7
城狐社鼠,62.7
摧枯拉朽,62.7
耕当问奴,62.7
话里有话,62.7
将功赎罪,62.7
齐烟九点,62.7
删繁就简,62.7
势倾天下,62.7
温柔敦厚,62.7
言听计从,62.7
仰取俯拾,62.7
余波未平,62.7
坐享其成,62.7
安安稳稳,62.6
百无聊赖,62.6
抱瓮出灌,62.6
乘坚驱良,62.6
存亡绝续,62.6
大肆厥辞,62.6
风趣横生,62.6
感情用事,62.6
高官厚禄,62.6
各执一词,62.6
借箸代筹,62.6
近乡情怯,62.6
泥塑木雕,62.6
平白无故,62.6
因循守旧,62.6
拔丁抽楔,62.5
残羹冷炙,62.5
池鱼之殃,62.5
大发雷霆,62.5
负恩昧良,62.5
积铢累寸,62.5
借酒浇愁,62.5
利害相关,62.5
明效大验,62.5
穷阎漏屋,62.5
如胶如漆,62.5
如醉如痴,62.5
说嘴郎中,62.5
文如其人,62.5
因祸得福,62.5
出将入相,62.4
风雨交加,62.4
化为乌有,62.4
矫若惊龙,62.4
居安思危,62.4
盲人把烛,62.4
亲痛仇快,62.4
丧尽天良,62.4
事以密成,62.4
手到拈来,62.4
吐哺握发,62.4
无所不可,62.4
眼空四海,62.4
阳春白雪,62.4
扬长而去,62.4
一代谈宗,62.4
殷鉴不远,62.4
淫辞秽语,62.4
莺啼燕语,62.4
战天斗地,62.4
猪卑狗险,62.4
装聋作哑,62.4
酌盈剂虚,62.4
暗昧之事,62.3
采兰赠药,62.3
独行其是,62.3
九鼎大吕,62.3
抗颜为师,62.3
龙盘虎踞,62.3
倾肠倒肚,62.3
师出无名,62.3
鼠肝虫臂,62.3
亡魂失魄,62.3
望帝啼鹃,62.3
望风捕影,62.3
彼竭我盈,62.2
不以为然,62.2
楚材晋用,62.2
垂涎欲滴,62.2
低眉折腰,62.2
瑚琏之器,62.2
履穿踵决,62.2
卖履分香,62.2
南山可移,62.2
旁敲侧击,62.2
乞儿乘车,62.2
雁过留声,62.2
鱼鱼雅雅,62.2
挨山塞海,62.1
不胜其任,62.1
敢怒敢言,62.1
鹤发鸡皮,62.1
昏镜重磨,62.1
九流三教,62.1
聚精会神,62.1
屡试不爽,62.1
内外夹攻,62.1
依流平进,62.1
一步一鬼,62.1
有目共赏,62.1
云兴霞蔚,62.1
吹弹歌舞,62.0
二龙戏珠,62.0
繁荣昌盛,62.0
分别部居,62.0
负屈含冤,62.0
呼天抢地,62.0
家给人足,62.0
九流人物,62.0
礼尚往来,62.0
仆仆风尘,62.0
使蚊负山,62.0
思潮起伏,62.0
私淑弟子,62.0
岁序更新,62.0
谢庭兰玉,62.0
言之无物,62.0
盈盈一水,62.0
自相残杀,62.0
别有用心,61.9
不可移易,61.9
光可鉴人,61.9
和如琴瑟,61.9
流言惑众,61.9
犬牙相错,61.9
入幕之宾,61.9
入乡随俗,61.9
深恶痛疾,61.9
屠毒笔墨,61.9
先驱蝼蚁,61.9
援鳖失龟,61.9
自我解嘲,61.9
超度众生,61.8
各执己见,61.8
河清海晏,61.8
烘云托月,61.8
加人一等,61.8
节哀顺变,61.8
金玉良言,61.8
旷世奇才,61.8
磊磊落落,61.8
泪干肠断,61.8
烈火烹油,61.8
笼络人心,61.8
拍板成交,61.8
平易近人,61.8
前俯后仰,61.8
缩手缩脚,61.8
荼毒生灵,61.8
隐约其辞,61.8
月里嫦娥,61.8
白璧青蝇,61.7
不翼而飞,61.7
带牛佩犊,61.7
发言盈庭,61.7
费力劳心,61.7
甘心首疾,61.7
贵人贱己,61.7
横行无忌,61.7
画脂镂冰,61.7
悔读南华,61.7
江汉朝宗,61.7
千秋万代,61.7
人穷志短,61.7
任人唯贤,61.7
心如悬旌,61.7
心血来潮,61.7
安居乐业,61.6
卑谄足恭,61.6
大难临头,61.6
风华绝代,61.6
龟鹤遐寿,61.6
跼天蹐地,61.6
醴酒不设,61.6
欺软怕硬,61.6
强词夺理,61.6
仁人志士,61.6
山清水秀,61.6
推本溯源,61.6
无为而治,61.6
五彩缤纷,61.6
洗雪逋负,61.6
寻踪觅迹,61.6
残年余力,61.5
盖世之才,61.5
坏人心术,61.5
荒诞无稽,61.5
祸从口出,61.5
吉人天相,61.5
寥寥可数,61.5
貌是情非,61.5
宁缺毋滥,61.5
头头是道,61.5
蜕化变质,61.5
脱胎换骨,61.5
一望无际,61.5
愚不可及,61.5
转危为安,61.5
安室利处,61.4
安闲自得,61.4
暗渡陈仓,61.4
比翼双飞,61.4
不骄不躁,61.4
朵颐大嚼,61.4
功行圆满,61.4
见善必迁,61.4
酒绿灯红,61.4
瞒上欺下,61.4
头高头低,61.4
突如其来,61.4
卧不安席,61.4
掩耳盗铃,61.4
自告奋勇,61.4
刚愎自用,61.3
更进一竿,61.3
击鼓鸣金,61.3
姜桂之性,61.3
江河日下,61.3
金舌弊口,61.3
钧天广乐,61.3
宽大为怀,61.3
明火执杖,61.3
牝牡骊黄,61.3
谦恭下士,61.3
日削月割,61.3
如法炮制,61.3
心慌意乱,61.3
羊入虎群,61.3
夜阑人静,61.3
引玉之砖,61.3
百般奉承,61.2
沧海横流,61.2
大惊失色,61.2
人头畜鸣,61.2
视为畏途,61.2
死去活来,61.2
闻风丧胆,61.2
贻厥孙谋,61.2
载歌载舞,61.2
彰明较著,61.2
爱憎分明,61.1
彬彬有礼,61.1
寸利必得,61.1
单刀直入,61.1
积案盈箱,61.1
锦绣肝肠,61.1
举手加额,61.1
空谷幽兰,61.1
龙潭虎窟,61.1
如醉方醒,61.1
善始善终,61.1
声气相通,61.1
羞与为伍,61.1
一念之差,61.1
张大其词,61.1
指鸡骂狗,61.1
别鹤孤鸾,61.0
汗牛充栋,61.0
见微知萌,61.0
慷慨悲歌,61.0
席地而坐,61.0
一片冰心,61.0
游手好闲,61.0
从恶是崩,60.9
风雨萧条,60.9
高下在心,60.9
皓首穷经,60.9
毛发之功,60.9
念兹在兹,60.9
三纲五常,60.9
说黑道白,60.9
四海鼎沸,60.9
小丑跳梁,60.9
羞面见人,60.9
寻行数墨,60.9
闭门觅句,60.8
不见经传,60.8
秤平斗满,60.8
隐晦曲折,60.8
英姿焕发,60.8
慈明无双,60.7
打狗看主,60.7
恶衣恶食,60.7
高节清风,60.7
股战而栗,60.7
饥附饱飏,60.7
里通外国,60.7
粮尽援绝,60.7
怒目切齿,60.7
三灾八难,60.7
身外之物,60.7
杳无音信,60.7
一馈十起,60.7
博闻辩言,60.6
不绝于耳,60.6
奋勇当先,60.6
瓜李之嫌,60.6
毫无疑义,60.6
浩浩荡荡,60.6
乐业安居,60.6
蚍蜉撼树,60.6
敲骨吸髓,60.6
伤天害理,60.6
顽固不化,60.6
正言厉色,60.6
纸上谈兵,60.6
半面之旧,60.5
垂手而得,60.5
冬温夏凊,60.5
挥汗成雨,60.5
灰飞烟灭,60.5
绝裾而去,60.5
鸟面鹄形,60.5
浅尝辄止,60.5
秋风团扇,60.5
如蝇逐臭,60.5
山崩钟应,60.5
竖子成名,60.5
知雄守雌,60.5
专欲难成,60.5
熬更守夜,60.4
才疏学浅,60.4
大逆不道,60.4
